,element,tag,text,href,class,target,rel,role,aria-current,data-ga-action,data-ga-name,data-ga-uri,title,tabindex,aria-haspopup,aria-label,id,style,data-redirect-after,data-skip-link,data-appsantag
146,Odpowiedzialny biznes,a,Odpowiedzialny biznes,https://raport.santander.pl,"['ext', 'acn-ga-link']",_blank,"['nofollow', 'noopener']",menuitem,,Odpowiedzialny biznes,Menu,\/klient-indywidualny,Odpowiedzialny biznes,,,,,,,,
147,Obsługa bez barier,a,Obsługa bez barier,/ws-obsluga-bez-barier/time20220329163459/,['acn-ga-link'],,,menuitem,,Obsługa bez barier,Menu,\/klient-indywidualny,Obsługa bez barier,,,,,,,,
148,Santander Orchestra,a,Santander Orchestra,/ws-santanderorchestra/time20220429103742/#/,['acn-ga-link'],,,menuitem,,Santander Orchestra,Menu,\/klient-indywidualny,Santander Orchestra,,,,,,,,
149,Jak jeździsz,a,Jak jeździsz,https://jakjezdzisz.pl/,"['ext', 'acn-ga-link']",_blank,"['nofollow', 'noopener']",menuitem,,Jak jeździsz,Menu,\/klient-indywidualny,Jak jeździsz,,,,,,,,
150,Finansiaki,a,Finansiaki,https://finansiaki.pl/,"['ext', 'acn-ga-link']",_blank,"['nofollow', 'noopener']",menuitem,,Finansiaki,Menu,\/klient-indywidualny,Finansiaki,,,,,,,,
151,Fundacja Santander,a,Fundacja Santander,https://fundacja.santander.pl/,"['ext', 'acn-ga-link']",_blank,"['nofollow', 'noopener']",menuitem,,Fundacja Santander,Menu,\/klient-indywidualny,Fundacja Santander,,,,,,,,
152,Santander Aviva,a,Santander Aviva,https://santander.aviva.pl/,"['ext', 'acn-ga-link']",_blank,"['nofollow', 'noopener']",menuitem,,Santander Aviva,Menu,\/klient-indywidualny,Santander Aviva,,,,,,,,
153,Santander Biuro Maklerskie,a,Santander Biuro Maklerskie,/inwestor,['acn-ga-link'],,,menuitem,,Santander Biuro Maklerskie,Menu,\/klient-indywidualny,Santander Biuro Maklerskie,,,,,,,,
154,Santander Universidades,a,Santander Universidades,/santander-universidades,['acn-ga-link'],,,menuitem,,Santander Universidades,Menu,\/klient-indywidualny,Santander Universidades,,,,,,,,
155,Santander Factoring,a,Santander Factoring,/factoring,['acn-ga-link'],,,menuitem,,Santander Factoring,Menu,\/klient-indywidualny,Santander Factoring,,,,,,,,
156,Fundusze Inwestycyjne Santander,a,Fundusze Inwestycyjne Santander,/tfi,['acn-ga-link'],,,menuitem,,Fundusze Inwestycyjne Santander,Menu,\/klient-indywidualny,Fundusze Inwestycyjne Santander,,,,,,,,
157,Santander Leasing,a,Santander Leasing,/santander-leasing,['acn-ga-link'],,,menuitem,,Santander Leasing,Menu,\/klient-indywidualny,Santander Leasing,,,,,,,,
158,Work/Café,a,Work/Café,/ws-work-cafe,['acn-ga-link'],,,menuitem,,Work/Café,Menu,\/klient-indywidualny,Work/Café,,,,,,,,
159,PL,a,PL,/klient-indywidualny,,,,,,,,,,,,,,,,,
160,EN,a,EN,/en/about-santander,,,,,,,,,,,,,,,,,
161,ES,a,ES,/es/acerca-del-santander,,,,,,,,,,,,,,,,,
162,Doradca online,a,Doradca online,/doradca-online/,,,,,,,,,,,,,,,,,
163,Placówki i bankomaty,a,Placówki i bankomaty,/przydatne-informacje/placowki-i-bankomaty,,,,,,,,,,,,,,,,,
164,1 9999,a,1 9999,tel:19999,,,,,,,,,,,,,,,,,
165,Pytania i odpowiedzi,a,Pytania i odpowiedzi,/klient-indywidualny/kontakt#2=6,['acn-ga-link'],,,menuitem,,Pytania i odpowiedzi,Menu,\/klient-indywidualny,Pytania i odpowiedzi,,,,,,,,
166,Bank Porad,a,Bank Porad,/bank-porad,['acn-ga-link'],,,menuitem,,Bank Porad,Menu,\/klient-indywidualny,Bank Porad,,,,,,,,
167,Bezpieczne bankowanie,a,Bezpieczne bankowanie,/klient-indywidualny/bankowosc-internetowa/bezpieczne-bankowanie,['acn-ga-link'],,,menuitem,,Bezpieczne bankowanie,Menu,\/klient-indywidualny,Bezpieczne bankowanie,,,,,,,,
168,Profil Santander Bank Polska na Facebook,a,  ,https://www.facebook.com/santanderbankpolska/,,_blank,"['nofollow', 'noopener']",,,,,,Profil Santander Bank Polska na Facebook,,,Profil Santander Bank Polska na Facebook,,,,,
169,Profil Santander Bank Polska na Twitter,a,  ,https://twitter.com/SantanderBankPL,,_blank,"['nofollow', 'noopener']",,,,,,Profil Santander Bank Polska na Twitter,,,Profil Santander Bank Polska na Twitter,,,,,
170,Profil Santander Bank Polska na Instagram,a,  ,https://www.instagram.com/santanderbankpolska/,,_blank,"['nofollow', 'noopener']",,,,,,Profil Santander Bank Polska na Instagram,,,Profil Santander Bank Polska na Instagram,,,,,
171,Profil Santander Bank Polska na LinkedIn,a,  ,https://www.linkedin.com/company/santander-bank-polska/,,_blank,"['nofollow', 'noopener']",,,,,,Profil Santander Bank Polska na LinkedIn,,,Profil Santander Bank Polska na LinkedIn,,,,,
172,Profil Santander Bank Polska na YouTube,a,  ,https://www.youtube.com/user/BankZachodniWBK,,_blank,"['nofollow', 'noopener']",,,,,,Profil Santander Bank Polska na YouTube,,,Profil Santander Bank Polska na YouTube,,,,,
173,PL,a,PL,/klient-indywidualny,,,,,,,,,,,,,,,,,
174,EN,a,EN,/en/about-santander,,,,,,,,,,,,,,,,,
175,ES,a,ES,/es/acerca-del-santander,,,,,,,,,,,,,,,,,
176,santander.pl/PAD,a,santander.pl/PAD,/pad,,,,,,,,,,,,,,,,,
177,konta osobiste,a,konta osobiste,/klient-indywidualny/konta,,,,,,,,,,,,,,,,,
178,konto dla młodych,a,konto dla młodych,/klient-indywidualny/konta/konto-jakie-chce-dla-mlodych,,,,,,,,,,,,,,,,,
179,kredyty gotówkowe,a,kredyty gotówkowe,/klient-indywidualny/kredyty/kredyt-gotowkowy,,,,,,,,,,,,,,,,,
180,kredyty hipoteczne,a,kredyty hipoteczne,/klient-indywidualny/kredyty/kredyt-mieszkaniowy,,,,,,,,,,,,,,,,,
181,karty kredytowe,a,karty kredytowe,/klient-indywidualny/karty-platnosci-i-kantor,,,,,,,,,,,,,,,,,
182,fundusze inwestycyjne,a,fundusze inwestycyjne,/klient-indywidualny/oszczednosci-i-inwestycje/fundusze-inwestycyjne,,,,,,,,,,,,,,,,,
183,ubezpieczenia,a,ubezpieczenia,/klient-indywidualny/ubezpieczenia,,,,,,,,,,,,,,,,,
184,konta firmowe,a,konta firmowe,/firmy/konta,,,,,,,,,,,,,,,,,
185,leasingu,a,leasingu,/firmy/leasing,,,,,,,,,,,,,,,,,
186,Santander Bank Polska,a,  ,/,,,,,,,,,Santander Bank Polska,,,,,,,,
187,Regulamin serwisu,a,Regulamin serwisu,/przydatne-informacje/regulamin-serwisu,['acn-ga-link'],,,menuitem,,Regulamin serwisu,Menu,\/klient-indywidualny,Regulamin serwisu,,,,,,,,
188,Polityka prywatności,a,Polityka prywatności,/przydatne-informacje/polityka-prywatnosci-serwisow-internetowych,['acn-ga-link'],,,menuitem,,Polityka prywatności,Menu,\/klient-indywidualny,Polityka prywatności,,,,,,,,
189,Polityka przetwarzania danych osobowych (RODO),a,Polityka przetwarzania danych osobowych (RODO),/przydatne-informacje/polityka-przetwarzania-danych-osobowych,['acn-ga-link'],,,menuitem,,Polityka przetwarzania danych osobowych (RODO),Menu,\/klient-indywidualny,Polityka przetwarzania danych osobowych (RODO),,,,,,,,
190,Polityka cookies,a,Polityka cookies,/polityka-cookies,['acn-ga-link'],,,menuitem,,Polityka cookies,Menu,\/klient-indywidualny,Polityka cookies,,,,,,,,
191,Sprawdzam,a,Sprawdzam,https://www.santander.pl/klient-indywidualny/kredyty/kredyt-gotowkowy-online?santag-barpl=kg_prom#majowka,['button'],,,,,,,,,,,,belkaButton1, margin-top: 20px;  width:120px;  margin-bottom: 16px; float: center;,,,
192,Zamknij,a,Zamknij,,['button'],,,,,,,,,0,,,btn14,,,,
193, Polityce cookies ,a, Polityce cookies ,https://www.santander.pl/polityka-cookies,['link'],,,,,,,,,,,,,,,,
194,                                 Cofnij                             ,a,                                 Cofnij                             ,,['link'],,,,,,,,,,,,,,,,
195,Politykę cookies,a,Politykę cookies,https://www.santander.pl/polityka-cookies,"['link', 'js-cookies-policy']",,,,,,,,,,,,,,true,,
196,,a,,,,,,,,,,,,,,,,,,,
197, ,a, ,,,,,,,,,,,,,,,,,,
198,                      Ustawienia                                     Akceptuję                  ,a,                      Ustawienia                                     Akceptuję                  ,,,,,,,,,,,,,,,,,,
199, ,a, ,,,,,,,,,,,,,,,,,,
200, ,a, ,,,,,,,,,,,,,,,,,,
201, Zaloguj się  ,a, Zaloguj się  ,#,"['button', 'small', 'header__utility-button', 'is--inverted', 'header__utility-button--no-color-change']",,,,,,,,,,,,,,,Przejdź do logowania,
202,               Załóż konto             ,a,               Załóż konto             ,/ewniosek/kjc/headerbottom,"['button', 'primary', 'small', 'header__utility-account', 'GA-header']",_blank,"['nofollow', 'noopener']",,,,,,,,,,,,,,
203,Santander internet,a,                 Santander internet             ,https://www.centrum24.pl/centrum24-web/login,"['button', 'primary', 'small']",,"['nofollow', 'noopener']",,,,,,Santander internet,,,,,,,,
204,iBiznes24,a,iBiznes24,https://ibiznes24.pl/login.html,"['button', 'primary', 'small']",,"['nofollow', 'noopener']",,,,,,iBiznes24,,,,,,,,
205,Inwestro Online,a,Inwestor online,https://www.inwestoronline.pl/cbm/,"['button', 'small']",,"['nofollow', 'noopener']",,,,,,Inwestro Online,,,,,,,,
206,Santander internet,a,           Bankowość w przeglądarce         ,https://m.centrum24.pl/centrum24-mobile-web/login?1,"['button', 'small']",,"['nofollow', 'noopener']",,,,,,Santander internet,,,,,,,,
207,Poznaj aplikację ,a,Poznaj aplikację ,https://www.santander.pl/klient-indywidualny/bankowosc-internetowa/santander-mobile,['link-arrow'],,,,,,,,,,,,,,,,app
208,,a,,https://apps.apple.com/pl/app/santander-mobile/id461736062,['app-store'],_blank,"['nofollow', 'noopener']",,,,,,,,,,,,,,app-store
209,,a,,https://play.google.com/store/apps/details?id=pl.bzwbk.bzwbk24,['google-play'],_blank,"['nofollow', 'noopener']",,,,,,,,,,,,,,google-play
